subfamily,tip_label,male_MW,male_ML,queen_MW,queen_ML,colony_size,queen_number_continuous,caste_number
Myrmicinae,Myrmica.pisarskii,0.880952381,1.630434783,1.081081081,1.906666667,NA,NA,NA
Myrmicinae,Myrmica.quebecensis,0.961538462,1.392156863,0.987341772,1.505376344,NA,NA,NA
Myrmicinae,Myrmica.rhytida,0.95,1.75,0.878378378,1.77027027,NA,NA,NA
Myrmicinae,Myrmica.ruginodis,1.228571429,1.772727273,0.829268293,1.830985915,665.29,2.53,1
Myrmicinae,Myrmica.rugulosa,1.071428571,1.576923077,0.928571429,1.698630137,NA,NA,NA
Myrmicinae,Myrmica.scabrinodis,1.028571429,1.947368421,0.919354839,1.8125,514.9,3.81,1
Myrmicinae,Myrmica.schencki,0.92,1.673913043,0.963414634,1.888888889,255,NA,1
Myrmicinae,Myrmica.schoedli,1.272727273,1.975609756,1.074626866,2.164179104,NA,NA,NA
Myrmicinae,Myrmica.specioides,1.055555556,1.65625,0.934782609,1.52173913,NA,NA,NA
Myrmicinae,Myrmica.tahoensis,1.041666667,1.458333333,1.036585366,1.865853659,175,1.7,1
Myrmicinae,Myrmica.transsibirica,0.933333333,1.75,0.646341463,1.244444444,NA,NA,NA
Myrmicinae,Myrmica.tulinae,0.952380952,1.575,1,1.959459459,NA,NA,NA
Myrmicinae,Myrmica.wheeleri,0.885245902,1.433333333,0.915789474,1.65,NA,NA,NA
Myrmicinae,Myrmica.xavieri,0.86,1.666666667,0.947368421,2,NA,NA,NA
Myrmicinae,Myrmica.zojae,0.795454545,1.409090909,0.867647059,1.712121212,NA,NA,NA
Myrmicinae,Myrmicaria.arachnoides_latinoda,1.117647059,2.235294118,1.948717949,2.8125,NA,NA,NA
Myrmicinae,Myrmicaria.brunnea_flava,2.222222222,4.1,2.322580645,4.674796748,NA,NA,NA
Myrmicinae,Myrmicocrypta.squamosa,1.01010101,1.547619048,0.740384615,1.164948454,NA,1,1
Formicinae,Myrmoteras.indicum,0.602150538,1.4375,0.731343284,1.625,NA,NA,NA
Amblyoponinae,Mystrium.barrybressleri,1.098039216,1.64893617,1.223880597,1.984848485,NA,NA,NA
Amblyoponinae,Mystrium.camillae,1.210526316,2.071428571,1,1.603448276,58,NA,1
Amblyoponinae,Mystrium.mysticum,1.763636364,2.563636364,1.8125,3.23255814,43,NA,1
Amblyoponinae,Mystrium.rogeri,1.787234043,2.873563218,1.505154639,2.884210526,156,NA,1
Dorylinae,Neivamyrmex.carolinensis,2.084507042,3.171428571,1.133333333,2.4,70000,14,NA
Dorylinae,Neivamyrmex.opacithorax,2.35483871,3.777777778,1.472222222,3.303030303,30000,NA,NA
Ponerinae,Neoponera.fisheri,2.4,5.789473684,2.4375,5.945454545,NA,NA,NA
Ponerinae,Neoponera.villosa,2.52173913,4.93877551,2.285714286,5.40625,32.77,1.57,1
Myrmicinae,Nesomyrmex.angulatus,0.711864407,1.153225806,0.746268657,1.316901408,NA,NA,NA
Myrmicinae,Nesomyrmex.asper,0.985507246,1.359223301,0.740740741,1.317307692,NA,NA,NA
Myrmicinae,Nesomyrmex.pittieri,0.554545455,1.120689655,0.693877551,1.405660377,NA,NA,NA
Formicinae,Notoncus.capitatus,0.769230769,1.370689655,1.680851064,2.630434783,NA,NA,NA
Formicinae,Notoncus.ectatommoides,0.87012987,1.558441558,1.279069767,2.441860465,NA,NA,NA
Formicinae,Notostigma.foreli,2.068965517,5.586206897,2.305555556,4.692307692,NA,NA,NA
Formicinae,Nylanderia.amblyops,0.489583333,1.03125,1.084507042,1.685714286,NA,NA,NA
Formicinae,Nylanderia.bourbonica,0.485714286,0.885416667,1.118421053,1.753424658,NA,NA,NA
Formicinae,Nylanderia.clandestina,0.557142857,0.905660377,1.030769231,1.573333333,NA,NA,NA
Formicinae,Nylanderia.comorensis,0.560606061,0.772727273,1.2,2.027777778,NA,NA,NA
Formicinae,Nylanderia.faisonensis,0.382978723,0.733333333,0.902654867,1.274509804,122.56,1,1
Formicinae,Nylanderia.fulva,0.544444444,0.755813953,1.439393939,1.90625,NA,NA,1
Formicinae,Nylanderia.gracilis,0.66,1.25,1.348484848,1.853333333,NA,NA,NA
Formicinae,Nylanderia.hystrix,0.671875,1.017241379,0.73255814,1.486842105,NA,NA,NA
Formicinae,Nylanderia.jaegerskioeldi,0.552631579,1.014285714,0.714285714,1.226415094,NA,NA,NA
